Word,Definition,Part of Speech,Synonyms,Antonyms
black,Of the very darkest color owing to the absence of or complete absorption of light,"adjective, noun","dark, ebony","white, light"
blade,"The flat cutting edge of a knife, saw, or other tool or weapon",noun,"edge, knife edge",handle
blame,Assign responsibility for a fault or wrong,"verb, noun","fault, accuse","praise, commend"
blank,Not marked or decorated; plain,"adjective, noun","empty, clear","full, complete"
blind,Unable to see,"adjective, verb","sightless, visionless",sighted
block,"A large solid piece of hard material, especially rock, stone, or wood","noun, verb","chunk, hunk",none
blonde,Fair or pale yellow in color,"adjective, noun","fair-haired, light-haired","brunette, dark-haired"
blood,The red liquid that circulates in the arteries and veins of humans and other vertebrate animals,"noun, verb","lifeblood, plasma",none
blow,A strong wind,"verb, noun","gust, breeze","calm, stillness"
blow out,Extinguish (a flame) by blowing on it,phrasal verb,"extinguish, put out","ignite, light"
blow up,Cause to explode,phrasal verb,"explode, detonate","defuse, dismantle"
blue,Of a color intermediate between green and violet,"adjective, noun","azure, cerulean",none
board,"A long, thin, flat piece of wood or other hard material","noun, verb","plank, slab",none
boat,A small vessel for traveling over water,"noun, verb","vessel, ship",none
body,The physical structure of a person or an animal,"noun, verb","figure, frame",none
boil,Heat (a liquid) to the temperature at which it bubbles and turns to vapor,"verb, noun","simmer, bubble",none
bomb,"A container filled with explosive, incendiary material, smoke, gas, or other destructive substance, designed to explode on impact or when detonated by a time mechanism or remote-control device","noun, verb","explosive, missile",none
bone,"Any of the pieces of hard, whitish tissue making up the skeleton in humans and other vertebrates","noun, verb","skeletal structure, ossein",none
book,"A set of written, printed, or blank pages fastened together along one side and encased between protective covers","noun, verb","volume, tome",none
boot,"A sturdy item of footwear covering the foot, the ankle, and sometimes the lower leg","noun, verb","footwear, shoe",none
border,"A line separating two political or geographical areas, especially countries","noun, verb","boundary, frontier","center, interior"
bore,Make (someone) feel weary and uninterested by tedious talk or dullness,"verb, noun","weary, tire","interest, entertain"
bored,Feeling weary and impatient because one is unoccupied or lacks interest in one's current activity,adjective,"disinterested, uninterested","engaged, interested"
boring,Not interesting; tedious,adjective,"dull, monotonous","interesting, exciting"
born,Brought into life by the process of birth,adjective,none,none
borrow,Take and use (something belonging to someone else) with the intention of returning it,verb,"take, use","lend, return"
boss,A person who is in charge of a worker or organization,"noun, verb","manager, supervisor","employee, worker"
both,"Used to refer to two people or things, regarded and identified together","determiner, pronoun","the two, each",neither
bother,Take the trouble to do something,"verb, noun","trouble, hassle","ignore, neglect"
bottle,"A container, typically made of glass or plastic and with a narrow neck, used for storing drinks or other liquids","noun, verb","flask, jar",none
bottom,The lowest point or part of something,"noun, adjective","base, foot","top, peak"
bound,Going or ready to go toward a specified place,adjective,"headed, destined",unbound
bowl,"A round, deep dish or basin used for food or liquid","noun, verb","dish, container",none
box,"A container with a flat base and sides, typically square or rectangular and having a lid","noun, verb","crate, case",none
boy,A male child or youth,noun,"lad, youngster","girl, girl child"
boyfriend,A regular male companion with whom one has a romantic or sexual relationship,noun,"partner, lover",none
brain,"An organ of soft nervous tissue contained in the skull of vertebrates, functioning as the coordinating center of sensation and intellectual and nervous activity","noun, verb","mind, intellect",none
branch,A part of a tree that grows out from the trunk or from a bough,"noun, verb","limb, bough","trunk, root"
brand,A type of product manufactured by a particular company under a particular name,"noun, verb","label, trademark","generic, no-name"
brave,Ready to face and endure danger or pain; showing courage,"adjective, verb, noun","courageous, fearless","cowardly, fearful"
bread,"Food made of flour, water, and yeast mixed together and baked",noun,"loaf, baguette",none
break,"Separate or cause to separate into pieces as a result of a blow, shock, or strain","verb, noun","shatter, smash","repair, fix"
break down,Stop functioning,phrasal verb,"fail, malfunction","function, work"
breakfast,"A meal eaten in the morning, the first of the day","noun, verb","morning meal, brunch","dinner, supper"
break in,Enter a building by force,phrasal verb,"burglarize, intrude","exit, leave"
break into,"Enter or open (a place, vehicle, or container) forcibly, especially for the purpose of theft",phrasal verb,"force entry, penetrate","exit, leave"
break off,Separate or cause to separate abruptly,phrasal verb,"detach, sever","attach, join"
break out,Start suddenly,phrasal verb,"begin, erupt","end, cease"
break up,End a relationship,phrasal verb,"separate, split","unite, reconcile"
breast,"Either of the two soft, protruding organs on the upper front of a woman's body that secrete milk after childbirth","noun, verb","bosom, mammary gland",none
breath,The air taken into or expelled from the lungs,noun,"inhale, exhalation",none
breathe,"Take air into the lungs and then expel it, especially as a regular physiological process",verb,"inhale, respire","suffocate, choke"
breathe in,Inhale air,phrasal verb,"inhale, draw in",none
breathe out,Exhale air,phrasal verb,"exhale, expel",none
breathing,The process of taking air into and expelling it from the lungs,"noun, verb","respiration, ventilation",suffocation
breed,"Cause (an animal) to produce offspring, typically in a controlled and organized way","verb, noun","raise, nurture",none
brick,"A small rectangular block typically made of fired or sun-dried clay, used in building","noun, verb","block, stone",none
bridge,"A structure carrying a road, path, railroad, or canal across a river, ravine, road, railroad, or other obstacle","noun, verb","span, overpass",none
brief,Of short duration,"adjective, noun, verb","short, concise","long, extended"
briefly,For a short time; fleetingly,adverb,"shortly, quickly",lengthily
bright,Giving out or reflecting a lot of light; shining,adjective,"shining, luminous","dim, dull"
brightly,In a way that gives out or reflects much light,adverb,"vividly, clearly","dimly, dully"
brilliant,Exceptionally clever or talented,"adjective, noun","exceptional, outstanding","dull, ordinary"
bring,Take or go with (someone or something) to a place,"verb, noun","carry, deliver","take away, remove"
bring back,Return (something) to its former condition,phrasal verb,"recall, restore",take away
